year,month,net_generation_kwh,description,cpcn,source,source_link,comments
2019,2,32112000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=08DD9485-729E-4C3D-97ED-A547E468E1EC#page=34,
2019,3,35436000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=08DD9485-729E-4C3D-97ED-A547E468E1EC#page=42,
2019,4,26743000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=33e6e3af-33fe-44a0-8099-7469963eba43#page=28,
2019,5,31419000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=33e6e3af-33fe-44a0-8099-7469963eba43#page=36,
2019,6,28177726,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=33e6e3af-33fe-44a0-8099-7469963eba43#page=44,
2019,7,29833133,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=895B2528-0ECA-4459-800C-E94BE352A079#page=26,
2019,8,29497901,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=895B2528-0ECA-4459-800C-E94BE352A079#page=33,
2019,9,32011009,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=895B2528-0ECA-4459-800C-E94BE352A079#page=40,
2019,10,32011005,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=286604E6-FEA5-429D-B519-B7836A20F632#page=27,
2019,11,30237394,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=286604E6-FEA5-429D-B519-B7836A20F632#page=35,
2019,12,37779010,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=286604E6-FEA5-429D-B519-B7836A20F632#page=42,
2018,1,36684000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=ACCA7D26-D385-4174-80E0-155F6F31459B#page=102,
2018,2,33497000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=ACCA7D26-D385-4174-80E0-155F6F31459B#page=110,
2018,3,36069000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=ACCA7D26-D385-4174-80E0-155F6F31459B#page=118,
2018,4,29929000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=B6259391-4FE4-46CC-8559-842BCCC7FF12#page=105,
2018,5,31737000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=B6259391-4FE4-46CC-8559-842BCCC7FF12#page=113,
2018,6,31603000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=B6259391-4FE4-46CC-8559-842BCCC7FF12#page=121,
2018,7,32176000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=82BE588E-CEC1-4F32-8F68-73DE43BC7A48#page=108,
2018,8,31200000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=82BE588E-CEC1-4F32-8F68-73DE43BC7A48#page=116,
2018,9,29484000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=82BE588E-CEC1-4F32-8F68-73DE43BC7A48#page=124,
2018,10,28401000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=95fbdc01-9a3f-48b2-8879-3879f865a9cc#page=113,
2018,11,33606000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=95fbdc01-9a3f-48b2-8879-3879f865a9cc#page=121,
2018,12,34725000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=95fbdc01-9a3f-48b2-8879-3879f865a9cc#page=129,
2017,1,37190000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=A3CBF751-0569-4CF0-8663-0D7AD9B9FF8C#page=103,
2017,2,30253000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=A3CBF751-0569-4CF0-8663-0D7AD9B9FF8C#page=107,
2017,3,31531000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=A3CBF751-0569-4CF0-8663-0D7AD9B9FF8C#page=111,
2017,4,28422000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=C5E8B875-4B71-4543-81E0-C89C0921220F#page=111,
2017,5,28092000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=C5E8B875-4B71-4543-81E0-C89C0921220F#page=115,
2017,6,27762000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=C5E8B875-4B71-4543-81E0-C89C0921220F#page=119,
2017,7,31571500,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=446E8B55-7E4A-41F2-B76D-67BC6F2DDE89#page=120,"Number misreport. First number, 7, should likely be 3. Checked via NG consumption. Seems like a spreadsheet error which reports the sum of all MLP gen"
2017,8,31734000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=446E8B55-7E4A-41F2-B76D-67BC6F2DDE89#page=124,
2017,9,32432000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=446E8B55-7E4A-41F2-B76D-67BC6F2DDE89#page=130,
2017,10,25751000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=BF7A8431-CC27-4C7F-A0CC-29430CF3AB52#page=114,
2017,11,32985000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=BF7A8431-CC27-4C7F-A0CC-29430CF3AB52#page=122,Unit misreport. MWh reported instead of kWh. Checked via NG consumption.
2017,12,35930000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=BF7A8431-CC27-4C7F-A0CC-29430CF3AB52#page=130,Unit misreport. MWh reported instead of kWh. Checked via NG consumption.
2016,1,36826000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=0943488B-22DF-4104-AB00-83F2A9B6A398#page=107,
2016,2,33960000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=0943488B-22DF-4104-AB00-83F2A9B6A398#page=111,
2016,3,36377000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=0943488B-22DF-4104-AB00-83F2A9B6A398#page=115,
2016,4,29687000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=47208E2F-7750-4DAC-A9BF-D103060A1F90#page=116,
2016,5,34663000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=47208E2F-7750-4DAC-A9BF-D103060A1F90#page=120,
2016,6,32624000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=47208E2F-7750-4DAC-A9BF-D103060A1F90#page=124,
2016,7,33038000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=D9B827DE-5497-450D-836C-976FD8276A9D#page=102,
2016,8,32568000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=D9B827DE-5497-450D-836C-976FD8276A9D#page=106,
2016,9,11614000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=D9B827DE-5497-450D-836C-976FD8276A9D#page=110,No gas usage reported for MLP share of SPP. Odd
2016,10,20367000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=FAE6A910-21B6-49BB-A09B-E875D6F38D3C#page=128,
2016,11,34230000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=FAE6A910-21B6-49BB-A09B-E875D6F38D3C#page=132,
2016,12,38028000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=FAE6A910-21B6-49BB-A09B-E875D6F38D3C#page=136,
2015,1,36292000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=AD02642D-CB70-4588-A089-DAE405BAD3D0#page=89,
2015,2,33837000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=AD02642D-CB70-4588-A089-DAE405BAD3D0#page=93,
2015,3,35803000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=AD02642D-CB70-4588-A089-DAE405BAD3D0#page=97,
2015,4,29114000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=C88363ED-310C-492C-B33F-49E540C9E68F#page=96,
2015,5,35070000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=C88363ED-310C-492C-B33F-49E540C9E68F#page=100,
2015,6,24203000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=C88363ED-310C-492C-B33F-49E540C9E68F#page=104,
2015,7,30466000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=455FC9F0-16FE-4FD1-9A19-DEED5C523FD9#page=115,
2015,8,33649000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=455FC9F0-16FE-4FD1-9A19-DEED5C523FD9#page=119,
2015,9,30662000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=455FC9F0-16FE-4FD1-9A19-DEED5C523FD9#page=123,
2015,10,30976000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=96800FE4-70D8-4313-8770-9077F51B3566#page=110,
2015,11,31902000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=96800FE4-70D8-4313-8770-9077F51B3566#page=114,
2015,12,36357000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=96800FE4-70D8-4313-8770-9077F51B3566#page=118,
2014,1,28991000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=89F36414-96DD-47CF-8CF2-5767EF2CA585#page=75,
2014,2,29332000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=89F36414-96DD-47CF-8CF2-5767EF2CA585#page=79,
2014,3,37888000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=89F36414-96DD-47CF-8CF2-5767EF2CA585#page=83,
2014,4,31829000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=859409DF-7434-48AB-A28C-7D8325A984E7#page=78,
2014,5,33342000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=859409DF-7434-48AB-A28C-7D8325A984E7#page=82,
2014,6,30180000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=859409DF-7434-48AB-A28C-7D8325A984E7#page=86,
2014,7,31664000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=08F98D12-670E-47E2-A5B6-8BB8CD72E12A#page=93,
2014,8,33403000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=08F98D12-670E-47E2-A5B6-8BB8CD72E12A#page=97,
2014,9,31427000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=08F98D12-670E-47E2-A5B6-8BB8CD72E12A#page=101,
2014,10,33611000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=62A0D71C-1527-4498-B068-9566505A9B69#page=99,
2014,11,33843000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=62A0D71C-1527-4498-B068-9566505A9B69#page=103,
2014,12,36636000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=62A0D71C-1527-4498-B068-9566505A9B69#page=107,
2013,1,17636000,"Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=547C1D40-1D07-4380-84DD-090B2ED8BD1D#page=77,Does not specify gross versus net
2013,2,32719000,"Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=547C1D40-1D07-4380-84DD-090B2ED8BD1D#page=77,Does not specify gross versus net
2013,3,35536000,"Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=547C1D40-1D07-4380-84DD-090B2ED8BD1D#page=77,Does not specify gross versus net
2013,4,29801000,"Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=547C1D40-1D07-4380-84DD-090B2ED8BD1D#page=77,Does not specify gross versus net
2013,5,33866000,"Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=547C1D40-1D07-4380-84DD-090B2ED8BD1D#page=77,Does not specify gross versus net
2013,6,33241000,"Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=547C1D40-1D07-4380-84DD-090B2ED8BD1D#page=77,Does not specify gross versus net
2013,7,32687000,"Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=547C1D40-1D07-4380-84DD-090B2ED8BD1D#page=77,Does not specify gross versus net
2013,8,30115000,"Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=547C1D40-1D07-4380-84DD-090B2ED8BD1D#page=77,Does not specify gross versus net
2013,9,28027000,"Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=547C1D40-1D07-4380-84DD-090B2ED8BD1D#page=77,Does not specify gross versus net
2013,10,31402000,"Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=547C1D40-1D07-4380-84DD-090B2ED8BD1D#page=77,Does not specify gross versus net
2013,11,33987000,"Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=547C1D40-1D07-4380-84DD-090B2ED8BD1D#page=77,Does not specify gross versus net
2013,12,37805000,"Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=547C1D40-1D07-4380-84DD-090B2ED8BD1D#page=77,Does not specify gross versus net
